word_id,incomparable,comparative,superlative,short_m,short_f,short_n,short_pl,decl_m_id,decl_f_id,decl_n_id,decl_pl_id
71432,,,,запамятован,запамятована,запамятовано,запамятованы,146599,146600,146601,146602
71433,,,,,,,,146603,146604,146605,146606
71434,,,,сгублен,сгублена,сгублено,сгублены,146607,146608,146609,146610
71435,,,,,,,,146611,146612,146613,146614
71436,,,,,,,,146615,146616,146617,146618
71437,,,,,,,,146619,146620,146621,146622
71438,,,,,,,,146623,146624,146625,146626
71439,,,,,,,,146627,146628,146629,146630
71440,,,,,,,,146631,146632,146633,146634
71441,,,,,,,,146635,146636,146637,146638
71442,,,,,,,,146639,146640,146641,146642
71443,,,,,,,,146643,146644,146645,146646
71444,,,,,,,,146647,146648,146649,146650
71445,,,,,,,,146651,146652,146653,146654
71446,,,,,,,,146655,146656,146657,146658
71447,,,,,,,,146659,146660,146661,146662
71448,,,,,,,,146663,146664,146665,146666
71449,,,,,,,,146667,146668,146669,146670
71450,,,,,,,,146671,146672,146673,146674
71451,,,,,,,,146675,146676,146677,146678
71452,,,,,,,,146679,146680,146681,146682
71453,,,,крепим,крепима,крепимо,крепимы,146683,146684,146685,146686
71454,,,,креплён,креплена,креплено,креплены,146687,146688,146689,146690
71455,,,,,,,,146691,146692,146693,146694
71456,,,,продержан,продержана,продержано,продержаны,146695,146696,146697,146698
71457,,,,,,,,146699,146700,146701,146702
71458,,,,,,,,146703,146704,146705,146706
71459,,,,захлопываем,захлопываема,захлопываемо,захлопываемы,146707,146708,146709,146710
71460,,,,,,,,146711,146712,146713,146714
71461,,,,,,,,146715,146716,146717,146718
71462,,,,коптим,коптима,коптимо,коптимы,146719,146720,146721,146722
71463,,,,копчён,копчена,копчено,копчены,146723,146724,146725,146726
71464,,,,,,,,146727,146728,146729,146730
71465,,,,полажен,полажена,полажено,полажены,146731,146732,146733,146734
71466,,,,,,,,146735,146736,146737,146738
71467,,,,припущен,припущена,припущено,припущены,146739,146740,146741,146742
71468,,,,,,,,146743,146744,146745,146746
71469,,,,,,,,146747,146748,146749,146750
71470,,,,разостлан,разостлана,разостлано,разостланы,146751,146752,146753,146754
71471,,,,,,,,146755,146756,146757,146758
71472,,,,,,,,146759,146760,146761,146762
71473,,,,расчёсываем,расчёсываема,расчёсываемо,расчёсываемы,146763,146764,146765,146766
